m2000011 | LO [pb] | LO_scale+ | LO_scale- | LO_PDF | LO_alphas | NLO [pb] | NLO_scale+ | NLO_scale- | NLO_PDF | NLO_alphas | resum [pb] | resum_scale+ | resum_scale- | resum_PDF | resum_alphas
100 | 0.0835866 | 0.085834 | 0.0805238 | 0.0016532 | 0.00026419 | 0.102276 | 0.104489 | 0.100522 | 0.00194042 | 0.000460885 | 0.102145 | 0.105026 | 0.101197 | 0.00195178 | 0.000458385
200 | 0.0073753 | 0.00747669 | 0.00723943 | 0.000173583 | 5.35405e-06 | 0.00864291 | 0.00881847 | 0.008495 | 0.000200058 | 1.64537e-05 | 0.00862601 | 0.00890409 | 0.00855226 | 0.000200793 | 1.60088e-05
300 | 0.00154586 | 0.00160759 | 0.00148498 | 4.41978e-05 | -2.4587e-06 | 0.00178425 | 0.00182178 | 0.00174914 | 5.04577e-05 | -7.7735e-07 | 0.00177966 | 0.00183647 | 0.00176309 | 5.05147e-05 | -8.344e-07
400 | 0.000461456 | 0.000487923 | 0.000436929 | 1.57973e-05 | -1.28243e-06 | 0.000529731 | 0.000540838 | 0.000518298 | 1.8021e-05 | -9.3192e-07 | 0.000528105 | 0.000544708 | 0.000523242 | 1.80329e-05 | -9.4348e-07
500 | 0.000167322 | 0.000179139 | 0.000156726 | 6.99317e-06 | -7.16885e-07 | 0.000191902 | 0.000196036 | 0.000187455 | 7.95956e-06 | -6.25505e-07 | 0.00019125 | 0.000197543 | 0.000189576 | 7.96764e-06 | -6.4098e-07
600 | 6.86428e-05 | 7.42233e-05 | 6.37252e-05 | 3.51983e-06 | -3.77507e-07 | 7.88692e-05 | 8.06098e-05 | 7.68895e-05 | 4.01557e-06 | -3.58575e-07 | 7.85854e-05 | 8.1222e-05 | 7.79236e-05 | 4.02781e-06 | -3.60175e-07
700 | 3.06644e-05 | 3.34348e-05 | 2.82544e-05 | 1.94445e-06 | -2.06546e-07 | 3.53425e-05 | 3.61505e-05 | 3.43962e-05 | 2.20941e-06 | -2.04507e-07 | 3.52109e-05 | 3.64105e-05 | 3.49326e-05 | 2.21091e-06 | -2.08058e-07
800 | 1.45879e-05 | 1.60159e-05 | 1.33512e-05 | 1.1681e-06 | -1.15681e-07 | 1.68801e-05 | 1.72753e-05 | 1.6397e-05 | 1.32119e-06 | -1.18262e-07 | 1.68179e-05 | 1.73996e-05 | 1.66918e-05 | 1.32267e-06 | -1.19522e-07
900 | 7.27898e-06 | 8.04137e-06 | 6.62366e-06 | 7.36779e-07 | -6.67699e-08 | 8.4633e-06 | 8.66856e-06 | 8.20541e-06 | 8.34856e-07 | -6.93605e-08 | 8.43377e-06 | 8.72444e-06 | 8.37268e-06 | 8.36384e-07 | -6.97197e-08
1000 | 3.773e-06 | 4.19229e-06 | 3.41593e-06 | 4.84857e-07 | -3.91849e-08 | 4.40923e-06 | 4.52106e-06 | 4.26736e-06 | 5.49194e-07 | -4.13382e-08 | 4.39466e-06 | 4.54749e-06 | 4.36527e-06 | 5.4921e-07 | -4.16967e-08
